Model,Metric,Score
EVENT,Accuracy,0.416
EVENT,F1-Score,0.582
EVENT,MCC,0.078
HTML,Accuracy,0.442
HTML,F1-Score,0.571
HTML,MCC,0.052
MRDM,Accuracy,0.504
MRDM,F1-Score,0.541
MRDM,MCC,0.079
XGB,Accuracy,0.434
XGB,F1-Score,0.448
XGB,MCC,-0.093
GPT-4o (Trinity),Accuracy,0.5847457627118644
GPT-4o (Trinity),F1-Score,0.5844771828961552
GPT-4o (Trinity),MCC,0.17580009600145763
